dateTime;;Time;Value;
08-30-2021;;19:34:08;69;confidence:0}
08-30-2021;;19:46:54;69;confidence:0}
08-30-2021;;19:46:59;70;confidence:0}
08-30-2021;;19:47:20;70;confidence:0}
08-30-2021;;19:47:25;71;confidence:0}
08-30-2021;;19:47:35;72;confidence:1}
08-30-2021;;19:47:40;76;confidence:1}
08-30-2021;;19:47:45;79;confidence:1}
08-30-2021;;19:47:50;80;confidence:1}
08-30-2021;;19:47:55;83;confidence:1}
08-30-2021;;19:48:00;80;confidence:1}
08-30-2021;;19:48:05;73;confidence:1}
08-30-2021;;19:48:10;70;confidence:1}
08-30-2021;;19:48:15;70;confidence:2}
08-30-2021;;19:48:20;71;confidence:2}
08-30-2021;;19:48:30;70;confidence:1}
08-30-2021;;19:48:35;71;confidence:1}
08-30-2021;;19:48:40;73;confidence:1}
08-30-2021;;19:50:50;74;confidence:0}
08-30-2021;;19:50:55;66;confidence:0}
08-30-2021;;19:51:03;66;confidence:0}
08-30-2021;;19:51:13;63;confidence:0}
08-30-2021;;19:51:18;61;confidence:1}
08-30-2021;;19:51:23;73;confidence:1}
08-30-2021;;19:51:28;75;confidence:1}
08-30-2021;;19:51:33;79;confidence:1}
08-30-2021;;19:51:38;80;confidence:1}
08-30-2021;;19:51:43;78;confidence:1}
08-30-2021;;19:51:53;80;confidence:1}
08-30-2021;;19:51:58;79;confidence:1}
08-30-2021;;19:52:03;80;confidence:1}
08-30-2021;;19:52:08;80;confidence:3}
08-30-2021;;19:52:13;80;confidence:1}
08-30-2021;;19:52:18;82;confidence:1}
08-30-2021;;19:52:28;77;confidence:3}
08-30-2021;;19:52:33;74;confidence:1}
08-30-2021;;19:52:48;75;confidence:1}
08-30-2021;;19:53:03;76;confidence:1}
08-30-2021;;19:53:13;77;confidence:1}
08-30-2021;;19:53:28;74;confidence:1}
08-30-2021;;19:53:36;73;confidence:2}
08-30-2021;;19:53:41;72;confidence:0}
08-30-2021;;19:53:46;70;confidence:0}
08-30-2021;;19:53:56;77;confidence:2}
08-30-2021;;19:54:01;76;confidence:2}
08-30-2021;;19:54:06;75;confidence:2}
08-30-2021;;19:54:11;76;confidence:2}
08-30-2021;;19:54:21;75;confidence:2}
08-30-2021;;19:54:31;74;confidence:2}
08-30-2021;;19:54:36;73;confidence:2}
08-30-2021;;19:54:41;72;confidence:2}
08-30-2021;;19:54:51;73;confidence:2}
08-30-2021;;19:55:06;72;confidence:2}
08-30-2021;;19:55:11;71;confidence:2}
08-30-2021;;19:55:16;69;confidence:2}
08-30-2021;;19:55:21;68;confidence:2}
08-30-2021;;19:55:31;67;confidence:2}
08-30-2021;;19:55:36;69;confidence:1}
08-30-2021;;19:55:41;71;confidence:1}
08-30-2021;;19:55:46;70;confidence:1}
08-30-2021;;19:55:51;67;confidence:2}
08-30-2021;;19:56:06;67;confidence:2}
08-30-2021;;19:56:16;66;confidence:3}
08-30-2021;;19:56:26;68;confidence:2}
08-30-2021;;19:56:31;69;confidence:2}
08-30-2021;;19:56:46;70;confidence:2}
08-30-2021;;19:57:01;71;confidence:2}
08-30-2021;;19:57:06;71;confidence:2}
08-30-2021;;19:57:21;71;confidence:2}
08-30-2021;;19:57:26;72;confidence:2}
08-30-2021;;19:57:31;73;confidence:2}
08-30-2021;;19:57:36;75;confidence:2}
08-30-2021;;19:57:46;76;confidence:2}
08-30-2021;;19:57:51;78;confidence:2}
08-30-2021;;19:58:06;78;confidence:2}
08-30-2021;;19:58:16;77;confidence:2}
08-30-2021;;19:58:21;75;confidence:2}
08-30-2021;;19:58:26;73;confidence:2}
08-30-2021;;19:58:31;71;confidence:3}
08-30-2021;;19:58:36;69;confidence:3}
08-30-2021;;19:58:46;69;confidence:2}
08-30-2021;;19:59:01;70;confidence:2}
08-30-2021;;19:59:16;72;confidence:2}
08-30-2021;;19:59:21;73;confidence:2}
08-30-2021;;19:59:31;72;confidence:2}
08-30-2021;;19:59:41;71;confidence:2}
08-30-2021;;19:59:56;72;confidence:2}
08-30-2021;;20:00:01;73;confidence:2}
08-30-2021;;20:00:06;73;confidence:3}
08-30-2021;;20:00:11;71;confidence:2}
08-30-2021;;20:00:16;70;confidence:2}
08-30-2021;;20:00:26;67;confidence:2}
08-30-2021;;20:00:31;62;confidence:2}
08-30-2021;;20:00:36;63;confidence:2}
08-30-2021;;20:00:41;63;confidence:2}
08-30-2021;;20:00:56;65;confidence:2}
08-30-2021;;20:01:01;67;confidence:2}
08-30-2021;;20:01:06;69;confidence:1}
08-30-2021;;20:01:16;71;confidence:1}
08-30-2021;;20:01:21;75;confidence:1}
08-30-2021;;20:01:26;78;confidence:1}
08-30-2021;;20:01:31;82;confidence:1}
08-30-2021;;20:01:36;81;confidence:1}
08-30-2021;;20:01:41;79;confidence:1}
08-30-2021;;20:01:46;78;confidence:2}
08-30-2021;;20:01:51;76;confidence:1}
08-30-2021;;20:01:56;73;confidence:1}
08-30-2021;;20:02:01;71;confidence:2}
08-30-2021;;20:02:06;72;confidence:2}
08-30-2021;;20:02:11;73;confidence:3}
08-30-2021;;20:02:16;73;confidence:1}
08-30-2021;;20:02:21;72;confidence:1}
08-30-2021;;20:02:26;73;confidence:1}
08-30-2021;;20:02:31;73;confidence:2}
08-30-2021;;20:02:36;70;confidence:2}
08-30-2021;;20:02:41;70;confidence:3}
08-30-2021;;20:02:46;71;confidence:2}
08-30-2021;;20:02:56;68;confidence:1}
08-30-2021;;20:03:01;64;confidence:1}
08-30-2021;;20:03:11;67;confidence:1}
08-30-2021;;20:03:16;68;confidence:1}
08-30-2021;;20:03:21;71;confidence:2}
08-30-2021;;20:03:26;73;confidence:2}
08-30-2021;;20:03:31;70;confidence:3}
08-30-2021;;20:03:36;68;confidence:3}
08-30-2021;;20:03:46;69;confidence:3}
08-30-2021;;20:03:51;69;confidence:1}
08-30-2021;;20:03:56;70;confidence:1}
08-30-2021;;20:04:01;70;confidence:2}
08-30-2021;;20:04:16;69;confidence:1}
08-30-2021;;20:04:21;70;confidence:1}
08-30-2021;;20:04:26;72;confidence:2}
08-30-2021;;20:04:31;72;confidence:1}
08-30-2021;;20:04:41;73;confidence:2}
08-30-2021;;20:04:46;74;confidence:2}
08-30-2021;;20:04:51;72;confidence:2}
08-30-2021;;20:04:56;71;confidence:1}
08-30-2021;;20:05:01;72;confidence:1}
08-30-2021;;20:05:06;73;confidence:2}
08-30-2021;;20:05:11;75;confidence:2}
08-30-2021;;20:05:16;73;confidence:2}
08-30-2021;;20:05:26;72;confidence:2}
08-30-2021;;20:05:31;73;confidence:2}
08-30-2021;;20:05:36;72;confidence:2}
08-30-2021;;20:05:41;71;confidence:1}
08-30-2021;;20:05:46;70;confidence:1}
08-30-2021;;20:05:51;72;confidence:1}
08-30-2021;;20:05:56;75;confidence:2}
08-30-2021;;20:06:01;75;confidence:1}
08-30-2021;;20:06:11;76;confidence:1}
08-30-2021;;20:06:16;75;confidence:2}
08-30-2021;;20:06:31;73;confidence:2}
08-30-2021;;20:06:36;73;confidence:1}
08-30-2021;;20:06:41;75;confidence:1}
08-30-2021;;20:06:46;77;confidence:1}
08-30-2021;;20:06:51;79;confidence:1}
08-30-2021;;20:07:01;82;confidence:1}
08-30-2021;;20:07:06;84;confidence:2}
08-30-2021;;20:07:11;83;confidence:1}
08-30-2021;;20:07:16;84;confidence:1}
08-30-2021;;20:07:26;86;confidence:1}
08-30-2021;;20:07:36;84;confidence:1}
08-30-2021;;20:07:41;87;confidence:1}
08-30-2021;;20:07:51;89;confidence:1}
08-30-2021;;20:08:01;86;confidence:1}
08-30-2021;;20:08:06;84;confidence:1}
08-30-2021;;20:08:11;83;confidence:1}
08-30-2021;;20:08:16;81;confidence:1}
08-30-2021;;20:08:26;79;confidence:1}
08-30-2021;;20:08:31;80;confidence:1}
08-30-2021;;20:08:36;78;confidence:1}
08-30-2021;;20:08:51;76;confidence:2}
08-30-2021;;20:08:56;74;confidence:2}
08-30-2021;;20:09:01;74;confidence:1}
08-30-2021;;20:09:11;75;confidence:1}
08-30-2021;;20:09:16;78;confidence:1}
08-30-2021;;20:09:26;77;confidence:1}
08-30-2021;;20:09:31;76;confidence:1}
08-30-2021;;20:09:41;75;confidence:1}
08-30-2021;;20:09:56;77;confidence:1}
08-30-2021;;20:10:06;75;confidence:1}
08-30-2021;;20:10:11;74;confidence:1}
08-30-2021;;20:10:21;73;confidence:3}
08-30-2021;;20:10:26;72;confidence:2}
08-30-2021;;20:10:36;72;confidence:1}
08-30-2021;;20:10:41;74;confidence:1}
08-30-2021;;20:10:46;75;confidence:1}
08-30-2021;;20:10:51;78;confidence:1}
08-30-2021;;20:10:56;76;confidence:1}
08-30-2021;;20:11:11;75;confidence:2}
08-30-2021;;20:11:16;76;confidence:2}
08-30-2021;;20:11:21;74;confidence:2}
08-30-2021;;20:11:26;70;confidence:1}
08-30-2021;;20:11:31;68;confidence:2}
08-30-2021;;20:11:36;71;confidence:1}
08-30-2021;;20:11:41;73;confidence:1}
08-30-2021;;20:11:46;74;confidence:1}
08-30-2021;;20:11:51;73;confidence:1}
08-30-2021;;20:11:56;72;confidence:1}
08-30-2021;;20:12:01;74;confidence:1}
08-30-2021;;20:12:16;75;confidence:1}
08-30-2021;;20:12:21;75;confidence:2}
08-30-2021;;20:12:26;75;confidence:1}
08-30-2021;;20:12:31;76;confidence:1}
08-30-2021;;20:12:36;75;confidence:1}
08-30-2021;;20:12:41;76;confidence:1}
08-30-2021;;20:12:51;79;confidence:1}
08-30-2021;;20:12:56;80;confidence:1}
08-30-2021;;20:13:01;79;confidence:1}
08-30-2021;;20:13:06;78;confidence:1}
08-30-2021;;20:13:11;77;confidence:1}
08-30-2021;;20:13:21;76;confidence:1}
08-30-2021;;20:13:26;74;confidence:1}
08-30-2021;;20:13:31;72;confidence:1}
08-30-2021;;20:13:36;71;confidence:1}
08-30-2021;;20:13:41;73;confidence:1}
08-30-2021;;20:13:46;72;confidence:1}
08-30-2021;;20:13:51;71;confidence:1}
08-30-2021;;20:13:56;72;confidence:2}
08-30-2021;;20:14:01;71;confidence:2}
08-30-2021;;20:14:06;67;confidence:1}
08-30-2021;;20:14:11;63;confidence:1}
08-30-2021;;20:14:16;65;confidence:1}
08-30-2021;;20:14:21;68;confidence:1}
08-30-2021;;20:14:26;73;confidence:1}
08-30-2021;;20:14:31;69;confidence:1}
08-30-2021;;20:14:36;72;confidence:1}
08-30-2021;;20:14:41;73;confidence:2}
08-30-2021;;20:14:46;75;confidence:1}
08-30-2021;;20:14:51;79;confidence:1}
08-30-2021;;20:14:56;82;confidence:1}
08-30-2021;;20:15:01;81;confidence:1}
08-30-2021;;20:15:06;79;confidence:2}
08-30-2021;;20:15:11;76;confidence:2}
08-30-2021;;20:15:16;75;confidence:2}
08-30-2021;;20:15:21;74;confidence:1}
08-30-2021;;20:15:26;69;confidence:1}
08-30-2021;;20:15:31;67;confidence:1}
08-30-2021;;20:15:36;68;confidence:2}
08-30-2021;;20:15:41;69;confidence:1}
08-30-2021;;20:15:51;67;confidence:1}
08-30-2021;;20:15:56;68;confidence:1}
08-30-2021;;20:16:01;69;confidence:1}
08-30-2021;;20:16:06;75;confidence:1}
08-30-2021;;20:16:16;76;confidence:1}
08-30-2021;;20:16:26;77;confidence:1}
08-30-2021;;20:16:36;78;confidence:1}
08-30-2021;;20:16:41;77;confidence:1}
08-30-2021;;20:16:46;76;confidence:1}
08-30-2021;;20:16:51;75;confidence:1}
08-30-2021;;20:16:56;76;confidence:1}
08-30-2021;;20:17:01;74;confidence:2}
08-30-2021;;20:17:06;73;confidence:1}
08-30-2021;;20:17:11;72;confidence:1}
08-30-2021;;20:17:16;74;confidence:1}
08-30-2021;;20:17:21;76;confidence:1}
08-30-2021;;20:17:26;77;confidence:1}
08-30-2021;;20:17:31;76;confidence:1}
08-30-2021;;20:17:41;75;confidence:1}
08-30-2021;;20:17:46;73;confidence:1}
08-30-2021;;20:17:51;72;confidence:1}
08-30-2021;;20:17:56;76;confidence:1}
08-30-2021;;20:18:01;77;confidence:1}
08-30-2021;;20:18:06;78;confidence:1}
08-30-2021;;20:18:11;77;confidence:1}
08-30-2021;;20:18:16;78;confidence:1}
08-30-2021;;20:18:31;78;confidence:1}
08-30-2021;;20:18:36;77;confidence:1}
08-30-2021;;20:18:41;74;confidence:1}
08-30-2021;;20:18:46;75;confidence:1}
08-30-2021;;20:18:51;72;confidence:1}
08-30-2021;;20:19:06;74;confidence:1}
08-30-2021;;20:19:16;74;confidence:2}
08-30-2021;;20:19:21;72;confidence:2}
08-30-2021;;20:19:26;69;confidence:2}
08-30-2021;;20:19:36;68;confidence:2}
08-30-2021;;20:19:46;67;confidence:3}
08-30-2021;;20:19:51;69;confidence:3}
08-30-2021;;20:19:56;70;confidence:3}
08-30-2021;;20:20:01;69;confidence:3}
08-30-2021;;20:20:06;70;confidence:3}
08-30-2021;;20:20:11;71;confidence:3}
08-30-2021;;20:20:26;72;confidence:3}
08-30-2021;;20:20:31;73;confidence:3}
08-30-2021;;20:20:36;71;confidence:3}
08-30-2021;;20:20:46;70;confidence:3}
08-30-2021;;20:20:51;70;confidence:2}
08-30-2021;;20:20:56;71;confidence:1}
08-30-2021;;20:21:01;72;confidence:1}
08-30-2021;;20:21:06;74;confidence:1}
08-30-2021;;20:21:11;78;confidence:1}
08-30-2021;;20:21:16;80;confidence:1}
08-30-2021;;20:21:21;79;confidence:3}
08-30-2021;;20:21:26;79;confidence:1}
08-30-2021;;20:21:31;77;confidence:1}
08-30-2021;;20:21:36;74;confidence:1}
08-30-2021;;20:21:41;75;confidence:1}
08-30-2021;;20:21:51;76;confidence:1}
08-30-2021;;20:21:56;75;confidence:1}
08-30-2021;;20:22:06;73;confidence:1}
08-30-2021;;20:22:11;72;confidence:1}
08-30-2021;;20:22:16;71;confidence:1}
08-30-2021;;20:22:21;67;confidence:1}
08-30-2021;;20:22:26;65;confidence:1}
08-30-2021;;20:22:31;67;confidence:1}
08-30-2021;;20:22:36;69;confidence:1}
08-30-2021;;20:22:41;71;confidence:1}
08-30-2021;;20:22:51;72;confidence:2}
08-30-2021;;20:22:56;74;confidence:1}
08-30-2021;;20:23:01;75;confidence:1}
08-30-2021;;20:23:06;76;confidence:1}
08-30-2021;;20:23:16;75;confidence:1}
08-30-2021;;20:23:21;73;confidence:1}
08-30-2021;;20:23:26;72;confidence:3}
08-30-2021;;20:23:31;73;confidence:3}
08-30-2021;;20:23:36;73;confidence:2}
08-30-2021;;20:23:41;71;confidence:1}
08-30-2021;;20:23:46;69;confidence:1}
08-30-2021;;20:23:51;71;confidence:1}
08-30-2021;;20:23:56;78;confidence:1}
08-30-2021;;20:24:06;76;confidence:2}
08-30-2021;;20:24:11;74;confidence:2}
08-30-2021;;20:24:16;72;confidence:2}
08-30-2021;;20:24:21;70;confidence:1}
08-30-2021;;20:24:26;73;confidence:1}
08-30-2021;;20:24:31;75;confidence:1}
08-30-2021;;20:24:36;76;confidence:1}
08-30-2021;;20:24:41;78;confidence:2}
08-30-2021;;20:24:46;77;confidence:2}
08-30-2021;;20:24:51;76;confidence:1}
08-30-2021;;20:24:56;75;confidence:1}
08-30-2021;;20:25:01;72;confidence:1}
08-30-2021;;20:25:06;71;confidence:2}
08-30-2021;;20:25:11;73;confidence:2}
08-30-2021;;20:25:16;74;confidence:1}
08-30-2021;;20:25:21;73;confidence:1}
08-30-2021;;20:25:36;70;confidence:1}
08-30-2021;;20:25:41;71;confidence:1}
08-30-2021;;20:25:46;70;confidence:1}
08-30-2021;;20:25:51;68;confidence:1}
08-30-2021;;20:25:56;66;confidence:1}
08-30-2021;;20:26:01;63;confidence:1}
08-30-2021;;20:26:06;61;confidence:1}
08-30-2021;;20:26:11;63;confidence:1}
08-30-2021;;20:26:16;69;confidence:1}
08-30-2021;;20:26:21;65;confidence:1}
08-30-2021;;20:26:26;63;confidence:1}
08-30-2021;;20:26:31;66;confidence:1}
08-30-2021;;20:26:36;73;confidence:1}
08-30-2021;;20:26:41;75;confidence:1}
08-30-2021;;20:26:46;74;confidence:1}
08-30-2021;;20:26:51;73;confidence:1}
08-30-2021;;20:26:56;72;confidence:1}
08-30-2021;;20:27:01;71;confidence:1}
08-30-2021;;20:27:06;74;confidence:1}
08-30-2021;;20:27:11;76;confidence:1}
08-30-2021;;20:27:26;79;confidence:1}
08-30-2021;;20:27:31;80;confidence:1}
08-30-2021;;20:27:36;79;confidence:1}
08-30-2021;;20:27:46;83;confidence:1}
08-30-2021;;20:27:51;82;confidence:2}
08-30-2021;;20:27:56;82;confidence:1}
08-30-2021;;20:28:06;76;confidence:1}
08-30-2021;;20:28:16;75;confidence:1}
08-30-2021;;20:28:21;76;confidence:1}
08-30-2021;;20:28:26;77;confidence:1}
08-30-2021;;20:28:31;78;confidence:1}
08-30-2021;;20:28:41;77;confidence:1}
08-30-2021;;20:28:46;78;confidence:1}
08-30-2021;;20:28:51;76;confidence:1}
08-30-2021;;20:28:56;77;confidence:1}
08-30-2021;;20:29:11;76;confidence:1}
08-30-2021;;20:29:16;77;confidence:1}
08-30-2021;;20:29:26;79;confidence:1}
08-30-2021;;20:29:36;80;confidence:1}
08-30-2021;;20:29:41;79;confidence:1}
08-30-2021;;20:29:56;79;confidence:1}
08-30-2021;;20:30:01;78;confidence:1}
08-30-2021;;20:30:11;80;confidence:1}
08-30-2021;;20:30:16;75;confidence:1}
08-30-2021;;20:30:21;74;confidence:1}
08-30-2021;;20:30:26;73;confidence:1}
08-30-2021;;20:30:36;72;confidence:1}
08-30-2021;;20:30:41;71;confidence:1}
08-30-2021;;20:30:56;71;confidence:1}
08-30-2021;;20:31:01;73;confidence:1}
08-30-2021;;20:31:06;75;confidence:1}
08-30-2021;;20:31:11;76;confidence:1}
08-30-2021;;20:31:16;77;confidence:1}
08-30-2021;;20:31:21;76;confidence:1}
08-30-2021;;20:31:31;75;confidence:1}
08-30-2021;;20:31:36;75;confidence:1}
08-30-2021;;20:31:41;77;confidence:1}
08-30-2021;;20:31:46;76;confidence:2}
08-30-2021;;20:31:56;77;confidence:2}
08-30-2021;;20:32:01;78;confidence:2}
08-30-2021;;20:32:06;79;confidence:2}
08-30-2021;;20:32:11;79;confidence:1}
08-30-2021;;20:32:16;78;confidence:1}
08-30-2021;;20:32:21;77;confidence:1}
08-30-2021;;20:32:26;76;confidence:1}
08-30-2021;;20:32:31;74;confidence:1}
08-30-2021;;20:32:36;75;confidence:1}
08-30-2021;;20:32:41;77;confidence:1}
08-30-2021;;20:32:51;78;confidence:2}
08-30-2021;;20:32:56;74;confidence:1}
08-30-2021;;20:33:01;72;confidence:1}
08-30-2021;;20:33:06;71;confidence:1}
08-30-2021;;20:33:11;72;confidence:1}
08-30-2021;;20:33:16;70;confidence:1}
08-30-2021;;20:33:21;68;confidence:1}
08-30-2021;;20:33:26;67;confidence:1}
08-30-2021;;20:33:31;69;confidence:1}
08-30-2021;;20:33:36;71;confidence:1}
08-30-2021;;20:33:41;70;confidence:1}
08-30-2021;;20:33:46;71;confidence:1}
08-30-2021;;20:33:51;72;confidence:2}
08-30-2021;;20:33:56;72;confidence:1}
08-30-2021;;20:34:01;71;confidence:2}
08-30-2021;;20:34:06;70;confidence:2}
08-30-2021;;20:34:16;71;confidence:2}
08-30-2021;;20:34:26;72;confidence:2}
08-30-2021;;20:34:31;73;confidence:3}
08-30-2021;;20:34:36;72;confidence:3}
08-30-2021;;20:34:41;73;confidence:2}
08-30-2021;;20:34:46;74;confidence:3}
08-30-2021;;20:34:51;74;confidence:2}
08-30-2021;;20:35:06;74;confidence:2}
08-30-2021;;20:35:11;75;confidence:2}
08-30-2021;;20:35:16;76;confidence:1}
08-30-2021;;20:35:21;77;confidence:1}
08-30-2021;;20:35:26;79;confidence:1}
08-30-2021;;20:35:36;81;confidence:1}
08-30-2021;;20:35:46;80;confidence:1}
08-30-2021;;20:35:51;78;confidence:1}
08-30-2021;;20:35:56;77;confidence:1}
08-30-2021;;20:43:33;69;confidence:0}
08-30-2021;;20:43:38;67;confidence:0}
08-30-2021;;20:43:43;74;confidence:1}
08-30-2021;;20:43:48;75;confidence:1}
08-30-2021;;20:43:53;79;confidence:1}
08-30-2021;;20:44:08;78;confidence:1}
08-30-2021;;20:44:18;79;confidence:1}
08-30-2021;;20:44:23;81;confidence:1}
08-30-2021;;20:44:28;83;confidence:1}
08-30-2021;;20:44:33;82;confidence:1}
08-30-2021;;20:44:38;86;confidence:1}
08-30-2021;;20:44:48;86;confidence:2}
08-30-2021;;20:44:58;89;confidence:2}
08-30-2021;;20:45:03;90;confidence:3}
08-30-2021;;20:45:08;88;confidence:1}
08-30-2021;;20:45:13;88;confidence:2}
08-30-2021;;20:45:18;87;confidence:1}
08-30-2021;;20:45:23;88;confidence:1}
08-30-2021;;20:45:28;87;confidence:1}
08-30-2021;;20:45:33;87;confidence:2}
08-30-2021;;20:45:38;88;confidence:2}
08-30-2021;;20:45:43;89;confidence:2}
08-30-2021;;20:45:58;89;confidence:3}
08-30-2021;;20:46:03;87;confidence:2}
08-30-2021;;20:46:13;87;confidence:1}
08-30-2021;;20:46:23;88;confidence:2}
08-30-2021;;20:46:28;89;confidence:1}
08-30-2021;;20:46:33;90;confidence:1}
08-30-2021;;20:46:38;93;confidence:1}
08-30-2021;;20:46:43;92;confidence:2}
08-30-2021;;20:46:48;90;confidence:2}
08-30-2021;;20:46:53;89;confidence:2}
08-30-2021;;20:46:58;90;confidence:2}
08-30-2021;;20:47:03;92;confidence:2}
08-30-2021;;20:47:08;91;confidence:3}
